name,sex_or_gender,date_of_birth,country_of_citizenship,place_of_birth
Mary Ann Shaffer,female,1934-12-13,United States of America,Martinsburg
Lawrence Hill,male,1957-01-24,Canada,Newmarket
Voltaire,male,"1694-11-21, 1694-02-20",Kingdom of France,Paris
Donald J. Sobol,male,1924-10-04,United States of America,New York City
Richard Koch,male,1950-07-28,United Kingdom,London
Alex Kava,female,1960-06-07,United States of America,Omaha
Philip Gourevitch,male,1961-01-01,United States of America,Philadelphia
Roger Stern,male,1950-09-17,United States of America,Noblesville
Michael Swanwick,male,1950-11-18,United States of America,Philadelphia
Gillian Avery,female,1926-09-30,"United Kingdom, United Kingdom of Great Britain and Ireland",Reigate
Ray Bradbury,male,1920-08-22,United States of America,Waukegan
Fernando Pessoa,male,1888-06-13,Portugal,Lisbon
F. Paul Wilson,male,1946-05-17,United States of America,Jersey City
Dave McKean,male,1963-12-29,United Kingdom,Maidenhead
Mary Azarian,female,1940-01-01,United States of America,
Lee Child,male,1954-10-29,United Kingdom,Coventry
Carlos Castaneda,male,1925-12-25,United States of America,Cajamarca
Anne Bishop,female,1955-00-00,United States of America,United States of America
Paul Beatty,male,1962-01-01,United States of America,Los Angeles
Arlene Eisenberg,female,1934-06-08,United States of America,New York
Sara Ryan,female,1971-11-13,United States of America,United States of America
Edmund Spenser,male,1552-00-00,Kingdom of England,"London, East Smithfield"
Philippa Gregory,female,1954-01-09,United Kingdom,Nairobi
Bruce Sterling,male,1954-04-14,United States of America,Austin
Daniel Quinn,male,1935-10-11,United States of America,Omaha
Ann Hood,female,1956-12-09,United States of America,West Warwick
Laurie R. King,female,1952-09-19,United States of America,Oakland
Grant Blackwood,male,1964-06-07,United States of America,United States of America
Brian Coffey,male,1905-06-08,Ireland,Dún Laoghaire
Jane Yolen,female,1939-02-11,United States of America,New York City
Greg Iles,male,1960-04-08,United States of America,Stuttgart
Pauline Baynes,female,1922-09-09,United Kingdom,Brighton
David Sheff,male,1955-12-23,United States of America,Boston
Lionel Abel,male,1910-11-19,United States of America,Brooklyn
Scott Lynch,male,1978-04-02,United States of America,Saint Paul
Albert Einstein,male,1879-03-14,"Switzerland, Hungary, Weimar Republic, United States of America",Ulm
Kurt Schaffenberger,male,1920-12-15,United States of America,Thuringian Forest
Mervyn Peake,male,1911-07-09,United Kingdom,Lianxi District
Alison Bechdel,female,1960-09-10,United States of America,Lock Haven
Ilya Ilf,male,"1897-10-03, 1897-10-15","Russian Empire, Soviet Union",Odessa
Brian Lumley,male,1937-12-02,United Kingdom,County Durham
Lucy Christopher,female,1981-00-00,"United Kingdom, Australia, Wales",Wales
Charles Tomlinson,male,1927-01-08,United Kingdom,Trent
Noam Chomsky,male,1928-12-07,United States of America,East Oak Lane
Steven Levy,male,1951-01-26,United States of America,Philadelphia
Durjoy Datta,male,1987-02-07,India,Delhi
Steve Coll,male,1958-10-08,United States of America,
Robison Wells,male,1978-04-04,United States of America,Utah
Wassily Kandinsky,male,1866-12-04,"Russian Empire, Soviet Union, France, Russian Soviet Federative Socialist Republic, France, German Reich",Moscow
Susanna Kearsley,female,1966-01-17,Canada,Brantford
Jeannette Walls,female,1960-04-21,United States of America,Phoenix
Maya Angelou,female,1928-04-04,United States of America, Louis
Robert Charles Wilson,male,1953-12-15,Canada,Whittier
Laura Dave,female,1977-07-18,United States of America,New York City
John Ortberg,male,1957-05-05,United States of America,Rockford
Nina Baym,female,1936-06-14,United States of America,Princeton
Jacquelyn Mitchard,female,"1956-12-10, 1953-12-10",United States of America,Chicago
Thomas Mann,male,1875-06-06,"German Empire, Weimar Republic, Nazi Germany, Czechoslovakia, United States of America",Lübeck
Carrie Jones,female,1982-00-00,United States of America,Bedford
John Steptoe,male,1950-09-14,United States of America,Brooklyn
Helene Hanff,female,1916-04-15,United States of America,Philadelphia
Philip Yancey,male,1949-11-04,United States of America,Atlanta
Anderson Cooper,male,1967-06-03,United States of America,Manhattan
Emma Healey,female,1985-02-27,United Kingdom,London
Tana French,female,1973-05-10,"United States of America, Italy",Burlington
Jenna Lamia,female,"1982-05-02, 1975-05-02",United States of America,Los Angeles
Sherwood Anderson,male,1876-09-13,United States of America,Camden
Sam Harris,male,1967-04-09,United States of America,Los Angeles
Robin Benway,female,1978-00-00,United States of America,Inglewood
Peter Sanderson,male,1952-04-25,United States of America,Milton
Homer Hickam,male,1943-02-19,United States of America,Coalwood
María Dueñas,female,1964-01-01,Spain,Puertollano
Rysa Walker,female,1961-12-18,United States of America,Pensacola
Philip Roth,male,"1933-03-19, 1933-03-18",United States of America,Newark
Frederick Franck,male,1909-04-12,"Kingdom of the Netherlands, United States of America",Maastricht
Fábio Moon,male,1976-06-05,Brazil,São Paulo
Tony Robbins,male,1960-02-29,United States of America,North Hollywood
Byron Katie,female,1942-12-06,United States of America,Breckenridge
John C. Maxwell,male,1947-02-20,United States of America,Garden City
Kathy Reichs,female,1948-07-07,United States of America,Chicago
Janny Wurts,female,1953-12-10,United States of America,Bryn Mawr
Hugh Lofting,male,1886-01-14,United Kingdom,Maidenhead
Monteiro Lobato,male,1882-04-18,Brazil,Taubaté
John Locke,male,1632-08-29,Kingdom of England,Wrington
Chevy Stevens,female,1973-01-01,Canada,British Columbia
Clayborne Carson,male,1944-06-15,United States of America,Buffalo
C.C. Hunter,female,2000-01-01,United States of America,Alabama
Bernie Mireault,male,1961-01-01,Canada,Marville
Karen Blixen,female,1885-04-17,Denmark,Rungstedlund
Mario Spezi,male,1945-07-30,"Italy, Kingdom of Italy",Angelo in Vado
Jon Bogdanove,male,1958-05-07,United States of America,Albany
John Patrick Shanley,male,1950-10-03,United States of America,The Bronx
Gretchen Rubin,female,1966-00-00,United States of America,Kansas City
Ayaan Hirsi Ali,female,1969-11-13,"Kingdom of the Netherlands, United States of America",Mogadishu
Michelle Paver,female,1960-09-07,United Kingdom,Blantyre
Rainbow Rowell,female,1973-02-24,United States of America,Nebraska
Rosalind Miles,female,1943-01-06,"United Kingdom, Australia",Warwickshire
Simon Garfield,male,1960-03-19,United Kingdom,England
Chuck Klosterman,male,1972-06-05,United States of America,Breckenridge
Marvin Israel,male,1924-07-03,United States of America,Syracuse
Claudia Rankine,female,"1963-01-01, 1963-01-01",United States of America,Kingston
Hervé Tullet,male,1958-06-28,France,Avranches
Lilian Jackson Braun,female,1913-06-20,United States of America,Chicopee
Edith Wharton,female,1862-01-24,United States of America,New York City
Bob Woodward,male,1943-03-26,United States of America,Geneva
Georgia Byng,female,1965-09-06,United Kingdom,Winchester
Jillian Tamaki,female,1980-04-17,Canada,Ottawa
Fredrik Backman,male,1981-06-02,Sweden,Sweden
Brad Meltzer,male,1970-04-01,United States of America,Brooklyn
Michael Henry Heim,male,1943-01-21,United States of America,New York City
Catherine Hardwicke,female,1955-10-21,United States of America,Cameron
Neale Donald Walsch,male,1943-09-10,United States of America,Milwaukee
Nina Bawden,female,1925-01-19,United Kingdom,London
Gavin Menzies,male,1937-08-14,United Kingdom,London
Greg Rucka,male,1969-11-29,United States of America,San Francisco
Rory Stewart,male,1973-01-03,United Kingdom,Hong Kong
Sylvan Barnet,male,1926-12-01,United States of America,Brooklyn
Helen Keller,female,1880-06-27,United States of America,Tuscumbia
Sherman Alexie,male,1966-10-07,United States of America,Wellpinit
Veronica Rossi,female,1973-06-16,United States of America,Rio de Janeiro
Amitav Ghosh,male,1956-07-11,India,Kolkata
Jane Harper,female,1980-00-00,Australia,Manchester
Michael Pollan,male,1955-02-06,United States of America,Long Island
Richard Brautigan,male,1935-01-30,United States of America,Tacoma
Nicky Cruz,male,1938-12-06,United States of America,San Juan
Anna Kendrick,female,1985-08-09,United States of America,Portland
Jon Ronson,male,1967-05-10,United Kingdom,Cardiff
Kenneth Grahame,male,1859-03-08,United Kingdom,Edinburgh
Joan Didion,female,1934-12-05,United States of America,Sacramento
Peter Christen Asbjørnsen,male,1812-01-15,"Norway, Union between Sweden and Norway",Christiania
Klaus Janson,male,1952-01-23,United States of America,Coburg
Michael Morpurgo,male,"1943-10-05, 1943-01-01",United Kingdom,St Albans
Steve Bodow,male,1967-00-00,United States of America,Rye
Gavin Extence,male,1982-00-00,United Kingdom,Lincolnshire
Mem Fox,female,1946-03-05,Australia,Melbourne
Aram Saroyan,male,1943-09-25,United States of America,New York City
