name,sex_or_gender,date_of_birth,country_of_citizenship,place_of_birth
Adi Granov,male,1977-00-00,"Bosnia and Herzegovina, United Kingdom",Sarajevo
Piers Anthony,male,"1934-08-06, 1934-01-01","United Kingdom, United States of America",Oxford
Nathaniel Branden,male,1930-04-09,United States of America,Brampton
Allen Ginsberg,male,1926-06-03,United States of America,Paterson
Margaret Atwood,female,1939-11-18,Canada,Ottawa
Amélie Nothomb,female,"1967-08-13, 1966-07-09",Belgium,"Kōbe, Etterbeek"
Andrew Lloyd Webber,male,1948-03-22,United Kingdom,Kensington
Pamela Des Barres,female,1948-09-09,United States of America,Reseda
Jay McInerney,male,1955-01-13,United States of America,New York City
Aldo Leopold,male,"1887-01-11, 1887-01-01",United States of America,Burlington
Julia Ormond,female,1965-01-04,United Kingdom,Epsom
Katsuhiro Otomo,male,1954-04-14,Japan,Miyagi Prefecture
William Blake,male,1757-11-28,"United Kingdom of Great Britain and Ireland, Great Britain","London, Broadwick Street"
Simone Beck,female,1904-07-07,France,Caux
Christian Redl,male,1948-04-20,Germany,Schleswig
Wendy Mass,female,1967-04-22,United States of America,Livingston
Mario Vargas Llosa,male,1936-03-28,"Spain, Peru",Arequipa
Nora Ephron,female,1941-05-19,United States of America,Upper West Side
Lincoln Child,male,1957-10-13,United States of America,Westport
Richard Russo,male,1949-07-15,United States of America,Johnstown
Alan Jay Lerner,male,1918-08-31,United States of America,New York City
Masaru Emoto,male,1943-07-22,Japan,Yokohama
Patricia Briggs,female,1965-02-28,United States of America,Butte
Leslie Stephen,male,1832-11-28,United Kingdom of Great Britain and Ireland,London
Julie Orringer,female,1973-06-12,United States of America,Miami
Cara Lockwood,female,1973-00-00,United States of America,Dallas
Richard Poe,male,1946-01-25,United States of America,Portola
Charles Duhigg,male,1974-01-01,United States of America,New Mexico
Jane Ray,female,1960-01-01,United Kingdom,London Borough of Waltham Forest
David Eagleman,male,1971-04-25,United States of America,Albuquerque
Kim Harrison,female,1966-01-01,United States of America,Midwest
Legs McNeil,male,1956-01-27,United States of America,Cheshire
Cory Doctorow,male,1971-07-17,"Canada, United Kingdom",Toronto
Kimberly Brubaker Bradley,female,1967-06-24,United States of America,Fort Wayne
Clare Vanderpool,female,1964-00-00,United States of America,Wichita
Tanith Lee,female,1947-09-19,United Kingdom,London
Emily Carroll,female,1983-06-00,Canada,London
Noelle Stevenson,non-binary,1991-12-31,United States of America,Columbia
Lauren Beukes,female,1976-06-05,South Africa,Johannesburg
Nevada Barr,female,1952-03-01,United States of America,Yerington
Akira Amano,female,1973-06-22,Japan,Aichi Prefecture
Edward Rutherfurd,male,1948-01-01,England,Salisbury
Sandra Boynton,female,1953-04-03,United States of America,Orange
Karen Chance,female,2000-01-01,United States of America,Orlando
Alison Leslie Gold,female,1945-07-13,United States of America,New York City
Hugh Laurie,male,1959-06-11,United Kingdom,Oxford
Maureen Howard,female,1930-06-28,United States of America,Bridgeport
Chimamanda Ngozi Adichie,female,"1977-09-15, 1977-01-01",Nigeria,Enugu
Henry Miller,male,1891-12-26,United States of America,New York City
Teju Cole,male,1975-06-27,"United States of America, Nigeria",Michigan
Neal Shusterman,male,1962-11-12,United States of America,Brooklyn
Dmitry Glukhovsky,male,1979-06-12,"Soviet Union, Russia",Moscow
Rae Carson,female,1973-08-00,United States of America,Oakland
Alisa Valdes,female,1969-02-28,United States of America,Albuquerque
Ted Chiang,male,1967-01-01,United States of America,Port Jefferson
Natasha Friend,female,1972-04-28,United States of America,Norwich
Miranda Hart,female,1972-12-14,United Kingdom,Torquay
Jean Anouilh,male,1910-06-23,France,Bordeaux
Ann McGovern,female,1930-05-25,United States of America,New York City
John E. Woods,male,1942-08-16,United States of America,Indiana
Marc Guggenheim,male,1970-09-24,United States of America,Long Island
Pia Guerra,female,1971-12-02,Canada,Hoboken
Richard Flanagan,male,1961-01-01,Australia,Longford
Richard Paul Evans,male,1962-10-11,United States of America,Salt Lake City
Ursula Hegi,female,1946-05-23,United States of America,Düsseldorf
Thomas Harris,male,1940-04-11,United States of America,Jackson
Peter David,male,1956-09-23,United States of America,Fort Meade
Bill Bryson,male,1951-12-08,United States of America,Des Moines
Andy Cohen,male,1968-06-02,United States of America, Louis
Kenneth Branagh,male,1960-12-10,United Kingdom,Belfast
Hugh Howey,male,1975-06-23,United States of America,Monroe
Alexander O. Smith,male,1973-02-08,United States of America,Vermont
Michael Shaara,male,"1928-06-23, 1929-06-23",United States of America,Jersey City
Chris Van Allsburg,male,1949-06-18,United States of America,Grand Rapids
Wilhelm Grimm,male,1786-02-24,"Kassel, Kingdom of Prussia, Germany",Hanau
Sigmund Freud,male,1856-05-06,"Hungary, Austria, First Republic of Austria, Federal State of Austria, Nazi Germany",Příbor
Terry Jones,male,1942-02-01,United Kingdom,Colwyn Bay
Tony DiTerlizzi,male,1969-09-06,United States of America,"Los Angeles, Whittier"
Mariko Tamaki,female,1975-12-22,Canada,Toronto
Iris Chang,female,1968-03-28,United States of America,Princeton
Adolfo Bioy Casares,male,1914-09-15,Argentina,Buenos Aires
William Carlos Williams,male,1883-09-17,United States of America,Rutherford
Louise Erdrich,female,1954-06-07,United States of America,Little Falls
William Gibson,male,1948-03-17,"United States of America, Canada",Conway
Roz Chast,female,1954-11-26,United States of America,Brooklyn
Juan Mascaró,male,1897-12-08,Spain,Santa Margalida
Tabitha King,female,1949-03-24,United States of America,Old Town
Kelley Jones,male,1962-07-23,United States of America,Sacramento
Scott Brick,male,1966-01-30,United States of America,Santa Barbara
Deanna Raybourn,female,1968-06-17,United States of America,Fort Worth
Glenn Eichler,male,1956-00-00,United States of America,United States of America
Simon R. Green,male,1955-08-25,United Kingdom,Avon
Elif Shafak,female,1971-10-25,Turkey,Strasbourg
Dale Carnegie,male,1888-11-24,United States of America,Maryville
Richard Condon,male,1915-03-18,United States of America,New York City
Jo Walton,female,1964-12-01,"Canada, United Kingdom",Aberdare
Heinrich Böll,male,1917-12-21,Germany,Cologne
Adrian Alphona,male,2000-00-00,Canada,Canada
Daniel Tammet,male,1979-01-31,United Kingdom,London
Marissa Meyer,female,1984-02-19,United States of America,Tacoma
Alan Weisman,male,1947-03-24,United States of America,Minneapolis
Hiro Mashima,male,1977-05-03,Japan,Nagano
Margaret Weis,female,1948-03-16,United States of America,Independence
Dave Barry,male,1947-07-03,United States of America,Armonk
Augusten Burroughs,male,1965-10-23,United States of America,Pittsburgh
Eugène Vinaver,male,1899-06-18,France,Saint Petersburg
Aimee Carter,female,1986-01-24,United States of America,Michigan
Gail Carriger,female,1976-05-04,United States of America,Bolinas
Sebastian Junger,male,1962-01-17,United States of America,Belmont
Gary Russell,male,1963-09-18,United Kingdom,Maidenhead
Ian Falconer,male,1959-08-25,United States of America,Ridgefield
Kami Garcia,female,1972-03-25,United States of America,
Karen Cushman,female,1941-10-04,United States of America,Chicago
Miranda July,female,1974-02-15,United States of America,Barre
Verna Aardema,female,1911-06-06,United States of America,New Era
Katherine Dunn,female,1945-10-24,United States of America,Garden City
Rufus Beck,male,1957-07-23,Germany,Heidelberg
Barbara Kingsolver,female,1955-04-08,United States of America,Annapolis
Curt Swan,male,1920-02-17,United States of America,Willmar
Dylan Thomas,male,1914-10-27,"United Kingdom, Wales",Swansea
G. Willow Wilson,female,1982-08-31,United States of America,New Jersey
Judith Viorst,female,1931-02-02,United States of America,Newark
Robert M. Edsel,male,1956-12-28,United States of America,Oak Park
Maxine Kumin,female,1925-06-06,United States of America,Philadelphia
Eoin Colfer,male,1965-05-14,Ireland,Wexford
Ron McMillan,male,1958-04-29,United Kingdom,Paisley
Gloria Naylor,female,1950-01-25,United States of America,Manhattan
Jordan Sonnenblick,male,1969-07-04,United States of America,Fort Leonard Wood
Carrie Vaughn,female,1973-01-28,United States of America,Mather Air Force Base
Ann Cleeves,female,1954-10-24,United Kingdom,United Kingdom
Manning Marable,male,1950-05-13,United States of America,Dayton
Sara Douglass,female,1957-06-02,Australia,Penola
Alan Dean Foster,male,1946-11-18,United States of America,New York City
Friedrich Engels,male,1820-11-28,Germany,Barmen
Esther Earl,female,1994-08-03,United States of America,Beverly
Cathy Hopkins,female,1953-01-23,United Kingdom,Manchester
Susan Beth Pfeffer,female,1948-02-17,United States of America,New York City
Wallace Stegner,male,1909-02-18,United States of America,Lake Mills
Sally Beauman,female,1944-07-25,United Kingdom,Totnes
Deborah Harkness,female,1965-04-05,United States of America,Philadelphia
Lynd Ward,male,1905-06-26,United States of America,Chicago
Lauren Oliver,female,1982-11-08,United States of America,Westchester County
Ree Drummond,female,1969-01-06,United States of America,Bartlesville
Uwem Akpan,male,1971-05-19,Nigeria,Nigeria
Inga Moore,female,1945-00-00,United Kingdom,Sussex
P. Craig Russell,male,1951-10-30,United States of America,Wellsville
Philippa Pearce,female,1920-01-22,United Kingdom,Cambridgeshire
Donald O. Clifton,male,1924-02-05,United States of America,Butte
Clive Barker,male,1952-10-05,United Kingdom,Liverpool
Rachel Kushner,female,1968-01-01,United States of America,Eugene
Gustaf Tenggren,male,1896-11-03,"United States of America, Sweden",Magra
William Shakespeare,male,"1564-04-23, 1564-04-00",Kingdom of England,Avon
Sarah Palin,female,1964-02-11,United States of America,Sandpoint
Georges Jeanty,male,1977-01-01,Dominican Republic,Brooklyn
Ridley Pearson,male,1953-03-13,United States of America,Glen Cove
Christopher Paul Curtis,male,1953-05-10,United States of America,Flint
Judy Blume,female,1938-02-12,United States of America,Elizabeth
Renee Ahdieh,female,1983-07-07,United States of America,North Carolina
Louis de Bernières,male,1954-12-08,United Kingdom,London
David Ury,male,1973-09-30,United States of America,Sonoma
William March,male,1893-09-18,United States of America,Mobile
Cherie Priest,female,1975-07-30,United States of America,"Florida, Tampa"
Lauren Weisberger,female,1977-03-28,United States of America,Scranton
Candace Bushnell,female,1958-12-01,United States of America,Glastonbury
Bill Hybels,male,1951-12-12,United States of America,Kalamazoo
Jim Butcher,male,1971-10-26,United States of America,Independence
Frank Quitely,male,1968-01-18,Scotland,Glasgow
Lisbeth Zwerger,female,1954-05-26,Austria,Vienna
Robert Frost,male,1874-03-24,United States of America,San Francisco
Elin Hilderbrand,female,1969-07-17,United States of America,Collegeville
David Aja,male,1977-04-16,Spain,Valladolid
Mark Manson,male,1984-03-09,United States of America,Austin
Michael Dorris,male,1945-01-30,United States of America,Louisville
Kelly Jones,male,1974-06-03,United Kingdom,Cwmaman
Mary E. Pearson,female,1955-08-14,United States of America,Southern California
Gordon Korman,male,1963-10-23,"United States of America, Canada",Montreal
Kai Hermann,male,1938-01-29,Germany,Hamburg
Ildefonso Falcones,male,1959-01-01,Spain,Barcelona
Mircea Eliade,male,"1907-02-28, 1907-03-09","Kingdom of Romania, Socialist Republic of Romania, United States of America",Bucharest
Joseph L. Henderson,male,1903-08-31,United States of America,Elko
Julie James,female,1957-02-25,Wales,Swansea
Diana L. Paxson,female,1943-02-20,United States of America,Berkeley
Donald Nicholson-Smith,male,1950-01-01,United Kingdom,Manchester
Kathryn Lasky,female,1944-06-24,United States of America,Indianapolis
Emily M. Danforth,female,1980-01-17,United States of America,Miles City
Banana Yoshimoto,female,1964-07-24,Japan,ku
Sharon Kay Penman,female,1945-08-13,United States of America,New York City
Lucy Knisley,female,1985-01-11,United States of America,New York City
Stephen Sondheim,male,1930-03-22,United States of America,New York City
Frantz Fanon,male,1925-07-20,"France, Algeria",France
Michael Slater,male,1970-02-21,Australia,Wagga Wagga
Natalie Goldberg,female,1948-01-04,United States of America,Brooklyn
Robert A. Heinlein,male,1907-07-07,United States of America,Butler
Chris Crutcher,male,1946-07-17,United States of America,Dayton
Janette Oke,female,1935-02-18,Canada, Alberta
Munro Leaf,male,1905-12-04,United States of America,Baltimore
Simone de Beauvoir,female,1908-01-09,France,"Paris, 6th arrondissement of Paris"
Elisabeth Elliot,female,1926-12-21,United States of America,Brussels
Walter M. Miller Jr.,male,1923-01-23,United States of America,New Smyrna Beach
Heather McDonald,female,1970-06-14,United States of America,San Fernando Valley
Peter D. Kramer,male,1948-10-22,United States of America,New York City
Eugene O'Neill,male,1888-10-16,United States of America,New York City
Iris Rainer Dart,female,"1944-03-01, 1944-03-03",United States of America,Pittsburgh
W. Bruce Cameron,male,1960-01-01,United States of America,Petoskey
Nina George,female,1973-08-30,Germany,Bielefeld
Neil Postman,male,1931-03-08,United States of America,New York City
Anne Tyler,female,1941-10-25,United States of America,Minneapolis
John Berendt,male,1939-12-05,United States of America,New York City
Marshall Goldsmith,male,1949-03-20,United States of America,Valley Station
Nobuhiro Watsuki,male,1970-05-26,Japan,Nagaoka
Nelson Mandela,male,1918-07-18,South Africa,Mvezo
Anton Chekhov,male,"1860-01-17, 1860-01-29",Russian Empire,Taganrog
James Clavell,male,1921-10-10,"Australia, United States of America",Sydney
William Goldman,male,1931-08-12,United States of America,Highland Park
Ken Kesey,male,1935-09-17,United States of America,La Junta
Michael Shermer,male,1954-09-08,United States of America,Glendale
Sarah Blakley-Cartwright,female,1988-03-11,United States of America,Los Angeles
Laurence Rees,male,1957-01-01,United Kingdom,Ayr
Zlata Filipović,female,1980-12-03,Bosnia and Herzegovina,Sarajevo
Anna Godbersen,female,1980-04-10,United States of America,Berkeley
Kerrelyn Sparks,female,1955-02-01,United States of America,Houston
Kyle Mills,male,1979-03-15,New Zealand,Auckland
Becky Albertalli,female,1982-11-17,United States of America,Atlanta
Axel Scheffler,male,1957-01-01,Germany,Hamburg
Maxwell Maltz,male,1889-03-10,United States of America,New York City
Michael W. Smith,male,1957-10-07,United States of America,Kenova
John Hodgman,male,1971-06-03,United States of America,Brookline
Pierce Brown,male,1988-01-28,United States of America,Denver
Dai Sijie,male,1954-03-02,s Republic of China,Chengdu
Jenna Miscavige Hill,female,1984-02-01,United States of America,Concord
Miles Davis,male,1926-05-26,United States of America,Alton
Jack Gantos,male,1951-07-02,United States of America,Pennsylvania
Arthur Ransome,male,"1884-01-18, 1884-00-00","United Kingdom, United Kingdom of Great Britain and Ireland",Leeds
Chris Ayres,male,1975-01-01,United Kingdom,Newcastle upon Tyne
Jon Lee Anderson,male,1957-01-15,United States of America,California
Janne Teller,female,1964-04-08,Denmark,Copenhagen
Carl Bernstein,male,"1944-02-14, 1944-01-01",United States of America,
Patrick Rothfuss,male,1973-06-06,United States of America,Madison
John D. MacDonald,male,1916-07-24,United States of America,Sharon
Kathryn Stockett,female,1969-01-01,United States of America,Jackson
Rosamund Lupton,female,1964-07-22,United Kingdom,Cambridge
Paul Guyer,male,1948-01-13,United States of America,New York City
Benjamin Franklin,male,1706-01-17,United States of America,Boston
Carolyn Jessop,female,1968-01-01,United States of America,Hildale
Toni Morrison,female,1931-02-18,United States of America,Lorain
Alfred Kazin,male,1915-06-05,United States of America,Brooklyn
David Weber,male,1952-10-24,United States of America,Cleveland
Eddie Campbell,male,1955-08-10,"Scotland, Australia",Glasgow
Denis Leary,male,1957-08-18,United States of America,Worcester
Kim Gruenenfelder,female,1967-01-01,United States of America, Louis
Douglas Adams,male,1952-03-11,United Kingdom,Cambridge
Felicia Day,female,1979-06-28,United States of America,Huntsville
Donald Ray Pollock,male,1954-12-23,United States of America,Knockemstiff
René Descartes,male,1596-03-31,France,Descartes
Nujood Ali,female,1998-01-01,Yemen,Yemen
David Byrne,male,"1952-05-14, 1952-01-01, 1905-05-06",United States of America,Dumbarton
Liu Cixin,male,1963-06-23,s Republic of China,Beijing
Friedrich Nietzsche,male,1844-10-15,,Röcken
Al Perkins,male,1944-01-18,United States of America,DeKalb
Jennifer Egan,female,1962-09-07,United States of America,Chicago
Edmund White,male,1940-01-13,United States of America,Cincinnati
Robert Silverberg,male,1935-01-15,United States of America,Brooklyn
Michael Marshall Smith,male,1965-05-03,United Kingdom,Knutsford
Sue Townsend,female,1946-04-02,United Kingdom,Leicester
Natsuo Kirino,female,1951-10-07,Japan,Kanazawa
Francine du Plessix Gray,female,1930-09-25,United States of America,Warsaw
Willy Lindwer,male,1946-03-18,Kingdom of the Netherlands,Amsterdam
Burton Pike,male,1930-06-12,United States of America,Boston
Gary Vaynerchuk,male,1975-11-14,"Soviet Union, United States of America",Babruysk
Gena Showalter,female,1975-01-01,United States of America,Oklahoma
Carol Christensen,female,1937-09-14,United States of America,Detroit
Colson Whitehead,male,1969-01-01,United States of America,New York City
Alice Sebold,female,"1963-09-06, 1962-09-06",United States of America,Madison
Aron Ralston,male,1975-10-27,United States of America,Marion
Zadie Smith,female,"1975-10-25, 1975-10-27",United Kingdom,London
Clifford Harper,male,1949-07-13,United Kingdom,Chiswick
Jorge Luis Borges,male,1899-08-24,Argentina,Buenos Aires
Sergei Lukyanenko,male,1968-04-11,"Soviet Union, Russia",Karatau
Khaled Al Khamissi,male,1962-09-27,Egypt,Cairo
Richard Ford,male,1944-02-16,United States of America,Jackson
Dave Mallow,male,1948-10-19,United States of America,Park Ridge
Sandra Cisneros,female,1954-12-20,"United States of America, Mexico",Chicago
David Hackett Fischer,male,1935-12-02,United States of America,Baltimore
Indu Sundaresan,female,1900-01-01,United States of America,India
Natasha Solomons,female,"1980-01-01, 1980-01-10",United Kingdom,London
Bret Easton Ellis,male,1964-03-07,United States of America,Los Angeles
Becky Cloonan,female,1980-06-23,United States of America,Pisa
Emily Giffin,female,1972-03-20,United States of America,Baltimore
David Mazzucchelli,male,1960-09-21,United States of America,Providence
Felix Salten,male,1869-09-06,Austria,Pest
Eugenio Montale,male,"1896-10-12, 1896-01-12","Italy, Kingdom of Italy",Genoa
Harry Gregson-Williams,male,1961-12-13,United Kingdom,Sussex
Simone Elkeles,female,1970-04-24,United States of America,Chicago
Diane Chamberlain,female,1950-01-01,United States of America,United States of America
Jeff Cox,male,1955-11-09,United States of America,Los Angeles
Irma S. Rombauer,female,1877-10-30,United States of America, Louis
William McDonough,male,1951-02-20,United States of America,Tokyo
Steve Erickson,male,1950-04-20,United States of America,Santa Monica
Margaret George,female,1943-01-19,United States of America,Tennessee
Anne Frank,female,1929-06-12,,Frankfurt am Main
Barbara Reynolds,female,1914-06-13,"United Kingdom, United Kingdom of Great Britain and Ireland",Bristol
Nicholas Evans,male,1950-07-26,"England, United Kingdom",Bromsgrove
Tsugumi Ohba,male,1950-00-00,Japan,Tokyo
Eliyahu M. Goldratt,male,1947-03-31,Israel,Mandatory Palestine
Sue Grafton,female,1940-04-24,United States of America,Louisville
Trevor Noah,male,1984-02-20,South Africa,Johannesburg
Elaine Pagels,female,1943-02-13,United States of America,Palo Alto
Edward Albee,male,1928-03-12,United States of America,
Simon Schama,male,1945-02-13,United Kingdom,London
Harriet Beecher Stowe,female,1811-06-14,United States of America,Litchfield
Nicholas Meyer,male,1945-12-24,United States of America,New York City
Thomas Piketty,male,1971-05-07,France,Clichy
Rick Warren,male,1954-01-28,United States of America,San Jose
Michael Arndt,male,1970-11-22,United States of America,McLean
Gloria Steinem,female,1934-03-25,United States of America,Toledo
Jay Asher,male,1975-09-30,United States of America,Arcadia
Faith Hunter,female,1953-01-01,United States of America,Louisiana
Michael Moorcock,male,1939-12-18,United Kingdom,London
Stephen J. Dubner,male,1963-08-26,United States of America,Duanesburg
Nancy Farmer,female,"1941-07-09, 1941-07-07",United States of America,Phoenix
Lili Wilkinson,female,1981-04-07,Australia,Melbourne
Doris Lessing,female,1919-10-22,"United Kingdom, United Kingdom of Great Britain and Ireland",Kermanshah
Terry Pratchett,male,1948-04-28,United Kingdom,Beaconsfield
Marcus Sakey,male,1974-01-01,United States of America,Flint
Debbie Macomber,female,1948-10-22,United States of America,Yakima
Allen W. Wood,male,1942-01-01,United States of America,Seattle
W. Chan Kim,male,1951-00-00,South Korea,Jinju
Carol Brown Janeway,female,1944-02-04,United Kingdom,Edinburgh
Stephen Templin,male,1967-00-00,United States of America,San Gabriel
Luca Marinelli,male,1984-10-22,Italy,Rome
Willa Muir,female,1890-03-13,"United Kingdom, United Kingdom of Great Britain and Ireland",Montrose
Youssef Ziedan,male,1958-06-30,Egypt,Sohag
Denis Johnson,male,1949-07-01,United States of America,Munich
Graeme Simsion,male,1956-00-00,Australia,Auckland
Anne Born,female,1924-07-09,United Kingdom,London
Tom Wolfe,male,1930-03-02,United States of America,Richmond
Banesh Hoffmann,male,1906-09-06,United Kingdom,Richmond
Chris d'Lacey,male,"1954-12-16, 1954-12-15",United Kingdom,Valletta
Carlos Fuentes,male,1928-11-11,Panama,Panama City
Chris Hadfield,male,1959-08-29,Canada,Sarnia
Sebastian Faulks,male,1953-04-20,United Kingdom, Berkshire
Yoko Tanaka,female,1993-07-30,Japan,Yamaguchi
Hafez,male,"1326-01-01, 1325-00-00","Muzaffarids of Iran, Timurid Empire",Shiraz
Naoki Higashida,male,1992-08-12,Japan,Chiba Prefecture
Terry Hayes,male,1951-10-08,United Kingdom,England
Dave Gibbons,male,1949-04-14,United Kingdom,United Kingdom
Anne Fortier,female,1971-11-10,Canada,Denmark
Jeanne DuPrau,female,1944-06-09,United States of America,Montana
Ramsey Campbell,male,"1946-01-04, 1946-01-06",United Kingdom,Liverpool
Cynthia Voigt,female,1942-02-25,United States of America,Boston
Julie Otsuka,female,1962-05-15,United States of America,Palo Alto
Steve Erwin,male,1960-01-16,United States of America,Tulsa
Salman Rushdie,male,1947-06-19,"United Kingdom, United States of America, Overseas Citizenship of India",Mumbai
Neil Patrick Harris,male,1973-06-15,United States of America,Albuquerque
Donald Margulies,male,1954-09-02,United States of America,Brooklyn
Olivia Goldsmith,female,"1949-01-01, 1949-07-11",United States of America,"Dumont, New York City"
David McCullough,male,1933-07-07,United States of America,Pittsburgh
Melinda Haynes,female,1955-12-03,United States of America,Hattiesburg
Jeanette Winterson,female,1959-08-27,United Kingdom,Manchester
Karen Kingsbury,female,1963-06-08,United States of America,Fairfax
John Banville,male,1945-12-08,Ireland,Wexford
Rachel Ward,female,1957-09-12,Australia,Cornwell
Christina Lamb,female,1965-05-15,United Kingdom,London
José Saramago,male,1922-11-16,Portugal,Azinhaga
Boris Pasternak,male,"1890-02-10, 1890-01-29","Russian Empire, Soviet Union",Moscow
Scarlett Thomas,female,1972-07-05,United Kingdom,London
Dorothy L. Sayers,female,1893-06-13,"United Kingdom, United Kingdom of Great Britain and Ireland",Oxford
Harper Lee,female,1926-04-28,United States of America,Monroeville
Randy Pausch,male,1960-10-23,United States of America,Baltimore
Ben Marcus,male,1967-10-11,United States of America,Chicago
Steven Pinker,male,1954-09-18,"United States of America, Canada",Montreal
Twyla Tharp,female,1941-07-01,United States of America,Portland
Susan Elizabeth Phillips,female,1948-12-11,United States of America,Cincinnati
Ira Levin,male,1929-08-27,United States of America,The Bronx
Ram Dass,male,1931-04-06,United States of America,Boston
Craig Hamilton,male,1979-09-01,United Kingdom,Dumfries
Daisy Goodwin,female,1961-12-19,United Kingdom,St Pancras
Dan Chaon,male,1964-06-00,United States of America,Sidney
Shonda Rhimes,female,1970-01-13,United States of America,Chicago
Peter Bart,male,1932-07-24,United States of America,New York City
Apostolos Doxiadis,male,1953-06-06,Greece,Brisbane
Belva Plain,female,1915-10-09,United States of America,New York City
Vonda N. McIntyre,female,1948-08-28,United States of America,Louisville
Marv Wolfman,male,1946-05-13,United States of America,Brooklyn
Napoleon Hill,male,1883-10-26,United States of America,Wise County
Amanda Hocking,female,1984-07-12,United States of America,Rochester
Graham Greene,male,1904-10-02,United Kingdom,Berkhamsted
Catherine Ryan Hyde,female,1955-04-17,United States of America,Buffalo
Mary Kinzie,female,1944-09-30,United States of America,Montgomery
Sarah Weeks,female,1955-03-18,United States of America,Ann Arbor
Esther Forbes,female,1891-06-28,United States of America,Westborough
James Grady,male,1971-03-14,United Kingdom,Paisley
Isaac Marion,male,1981-12-30,United States of America,Seattle
Andrew Sinclair,male,1935-01-21,United Kingdom,Oxford
Lewis Carroll,male,1832-01-27,"United Kingdom of Great Britain and Ireland, United Kingdom",Daresbury
Philip Reeve,male,1966-02-28,United Kingdom,Brighton
Oscar Wilde,male,1854-10-16,"United Kingdom of Great Britain and Ireland, United Kingdom",Dublin
Janette Sebring Lowrey,female,1892-03-02,United States of America,Orange
Niall Ferguson,male,1964-04-18,United Kingdom,Glasgow
Paul Theroux,male,1941-04-10,United States of America,Medford
Trenton Lee Stewart,male,1970-05-27,United States of America,Hot Springs
Kim Newman,male,1959-07-31,United Kingdom,London
Ivan Turgenev,male,"1818-10-28, 1818-11-09",Russian Empire,Oryol
Alecos Papadatos,male,1959-01-01,Greece,Thessaloniki
James Joyce,male,1882-02-02,Ireland,Rathgar
Cynthia Kadohata,female,1956-07-02,United States of America,Chicago
Thor Heyerdahl,male,1914-10-06,Norway,Larvik
Drew Barrymore,female,1975-02-22,United States of America,Culver City
Andrew Stanton,male,1965-12-03,United States of America,Rockport
Hans Fallada,male,1893-07-21,Germany,Greifswald
Nate Silver,male,1978-01-13,United States of America,East Lansing
Arthur Goldhammer,male,1946-11-17,United States of America,Plainfield
Mary Robinette Kowal,female,1969-02-08,United States of America,Raleigh
Maggie O'Farrell,female,1972-01-01,United Kingdom,Coleraine
Joseph Wambaugh,male,1937-01-22,United States of America,Pittsburgh
Julio Cortázar,male,1914-08-26,"Argentina, France",Ixelles
Tennessee Williams,male,1911-03-26,United States of America,Columbus
Alex Maleev,male,1971-01-01,Bulgaria,Sofia
Bryan Burrough,male,1961-08-13,United States of America,Tennessee
Mark Zug,male,1959-01-01,United States of America,Fort Wayne
Dean Koontz,male,1945-07-09,United States of America,Everett
Howard Dully,male,1948-11-30,United States of America,Oakland
Philip Pullman,male,1946-10-19,United Kingdom,Norwich
Zig Ziglar,male,1926-11-06,United States of America,Coffee County
Richard Rhodes,male,1937-07-04,United States of America,Kansas City
Helen Hooven Santmyer,female,1895-11-25,United States of America,Cincinnati
Kōbō Abe,male,1924-03-07,"Empire of Japan, Japan",ku
Reiko Yoshida,female,1967-12-31,Japan,Hiroshima Prefecture
Roald Dahl,male,1916-09-13,"United Kingdom, Wales",Llandaff
Dennis Lehane,male,1965-08-04,United States of America,Dorchester
David Fishelson,male,1956-07-24,United States of America,Wooster
Flann O'Brien,male,1911-10-05,Ireland,Strabane
Steven Callahan,male,1952-02-06,United States of America, Chester County
Jeffrey Eugenides,male,1960-03-08,United States of America,Detroit
Travis Moore,male,1970-08-05,United States of America,Santa Monica
Doreen Cronin,female,1966-01-01,United States of America,New York
Rumiko Takahashi,female,1957-10-10,Japan,Niigata
Roland Smith,male,1951-11-30,United States of America,Portland
Elaine Showalter,female,1941-01-21,United States of America,Boston
Bernard Knox,male,"1914-11-24, 1914-01-01",United States of America,Bradford
Caroline Kepnes,female,1976-11-10,United States of America,Barnstable
Evelyn Waugh,male,1903-10-28,United Kingdom,West Hampstead
Leonard Peikoff,male,1933-10-15,United States of America,Winnipeg
Richard K. Morgan,male,1965-09-24,United Kingdom,London
David Oliver Relin,male,1962-12-12,United States of America,Rochester
Chris Claremont,male,1950-11-25,United States of America,London
François Rabelais,male,1494-01-01,France,Seuilly
Mary Pope Osborne,female,1949-05-20,United States of America,Fort Sill
Pat Barker,female,1943-05-08,United Kingdom,Tees
Gordon B. Hinckley,male,1910-06-23,United States of America,Salt Lake City
James A. Michener,male,1907-02-03,United States of America,New York City
Dave Pelzer,male,1960-12-29,United States of America,Daly City
Erich Fromm,male,1900-03-23,"German Empire, Weimar Republic",Frankfurt am Main
Tracy Letts,male,1965-07-04,United States of America,Tulsa
Geoff Dyer,male,1958-06-05,United Kingdom,Cheltenham
Patrick Süskind,male,1949-03-26,Germany,Ambach
Si Robertson,male,1948-04-27,United States of America,Vivian
Vince Neil,male,1961-02-08,United States of America,Hollywood
Aniela Jaffé,female,1903-02-20,Germany,Berlin
Amelia Atwater-Rhodes,female,1984-04-16,United States of America,Silver Spring
Graeme Base,male,1958-04-06,"Australia, United Kingdom",Amersham
Markus Zusak,male,"1975-06-23, 1975-01-01",Australia,Sydney
